Язык,Русский язык,Уровень,Год,Оригинальное предложение,союз,группа,расположение частей,подлеж гл,подлеж прид,падеж гл,падеж прид,лицочисло,subject,null
eng,FL,IL,,{{Когда }} Расскольников  реwает  что  он  должен  появиться  с  повинной  он  поидет  к  милиции.,когда,время,п_г,мест,сущ,и,и,3ед,мест сущ,other
eng,FL,IL,,{{Когда }} Алис  читала  мои  сочинении  она  сказала*@*  что  она  думала*@*  что  мои  сочинении  очень  хорошие.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,FL,IL,,Потому  что*@*  много  раз*@*  {{когда }} человек  познакомился  с  другим  человек*@*  он  может  найти  что-то*@*  который  ему  нравится.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,FL,IL,,{{Когда }} они  учились  в  этой  школе*@*  они  всегда  отдыхали  вместе  и  даже  изучали  такие  же  субекты.,когда,время,пг,мест,мест,и,и,3мн,мест мест,other
eng,FL,IH,,По  моэму*@*  я  думаю*@*  что  люди  красивы*@*  {{когда }} они  счастливы  и  уверены  в  своих  телах.,когда,время,гп,сущ,мест,и,и,3мн,сущ мест,other
eng,FL,IH,,Однако  у  меня  есть  мексиканская  подруга*@*  Дани*@*  которая  родилась  в  Мексике  и  переехала  в  США*@*  {{когда }} ей  было  четыре  лет.,когда,время,гп,д_мест,мест,и,д,3ед,д_мест мест,other
eng,FL,IH,,{{Когда }} они  приехал*@*  они  жили  в  квартире*@*  которая  кишела  крысами.,когда,время,пг,мест,мест,и,и,3мн,мест мест,other
eng,FL,IH,,Дани  начала  слушать  курсы  университета*@*  {{когда }} ей  был  шестнадцать  лет.,когда,время,гп,сущ,мест,и,д,3ед,сущ мест,other
eng,FL,IH,,Первоначально  она  хотела  изучать  русский  язык*@*  но  {{когда }} она  учила  ОДПДП*@*  она  решила  стать  юристом.,когда,время,пг,мест,мест,и,и,3ед,мест мест,other
eng,FL,IH,,Эти  девушки  все?  стройные*@*  не  полные*@*  и  {{когда }} девушки  как  дочь  читательницы  видят  эти  картинки*@*  они  замечают  несоответствия  с  своими  телами.,когда,время,пг,мест,сущ,и,и,3мн,мест сущ,other
eng,HL,Other,,Там  он  находит  сигарету*@*  которую  начинает  курить*@* *@*  но  на  него  капает  вода  и  {{когда }} он  смотрит  вверх*@*  он  видит  зайца*@*  который  поливает  свои  растения  на  балконе.,когда,время,пг,мест,мест,и,и,3ед,мест мест,other
eng,HL,Other,,Но  заяц*@*  {{когда }} видит  веревку*@*  по  которой  лез  волк*@*  ее  просто  режет  и  волк  падает  вниз*@* *@*  прямо  на  милицию.,когда,время,гпг,сущ,null,и,null,3ед,сущ null,null
eng,HL,Other,,Попадает  правильно*@*  но  {{когда }} питается  вытащить  свою*@*  свой  гарпун*@*  он  опрокидывает  весь  забор*@*  а  на  другой  стороне  все  там  в  купальниках*@*  на  пляж.,когда,время,пг,мест,null,и,null,3ед,мест null,null
ger,FL,AH,,Поэтому*@*  {{когда }} норвежцы  выходят  в  офис  или  магазин*@*  они  говорят « привет»  и  улыбаются.,когда,время,пг,мест,сущ,и,и,3мн,мест сущ,other
swe,FL,AM,,Он  снял  этот  фильм  в   тысяча  девятьсот  двадцать  пятом  году*@*  {{когда }} ему  было  двадцать   {{Когда }} он  работал  в  семь  лет.,когда,время,гп,мест,мест,и,и,3ед,мест мест,other
swe,FL,AM,,{{Когда }} он  работал   в  красной   армии*@*  он  начал  работать  с  театром  и  фильмом.,когда,время,пг,мест,мест,и,и,3ед,мест мест,other
chi,FL,IM,,{{Когда }} Алексей  узнал  об  этом*@*  он  не  согласился*@*  ведь  он  ещё  не  знает*@*  что  та  крестьянка*@*  которую  он  всегда  встречает*@*  это  Лиза.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
chi,FL,IM,,Она  тоже  очень  добрая  девушка: {{когда }} она  сидит  в  автобусе  или  в  поезде  метро*@*  она  всегда  встаёт*@*  если  она  видела  старика  или  других  слабых.,когда,время,пг,мест,мест,и,и,3ед,мест мест,other
